,EmployeeNumber,Gender,EducationField,Age,MaritalStatus,Department,JobRole,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
307,421,Female,Life Sciences,38,Married,Research & Development,Research Director,No,Travel_Rarely,849,25,2,1,81,2,3,2,12061,26707,3,No,17,3,3,1,19,2,3,10,8,0,1
308,422,Male,Life Sciences,58,Divorced,Research & Development,Healthcare Representative,No,Non-Travel,390,1,4,4,32,1,2,3,5660,17056,2,Yes,13,3,4,1,12,2,3,5,3,1,2
309,423,Male,Technical Degree,31,Married,Research & Development,Research Scientist,No,Travel_Rarely,691,5,4,3,86,3,1,4,4821,10077,0,Yes,12,3,3,1,6,4,3,5,2,0,3
310,424,Male,Human Resources,31,Married,Human Resources,Human Resources,No,Travel_Rarely,106,2,3,1,62,2,2,1,6410,17822,3,No,12,3,4,0,9,1,3,2,2,1,0
311,425,Male,Life Sciences,45,Divorced,Research & Development,Laboratory Technician,No,Travel_Frequently,1249,7,3,1,97,3,3,1,5210,20308,1,No,18,3,1,1,24,2,3,24,9,9,11
312,426,Male,Life Sciences,31,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,192,2,4,3,32,3,1,4,2695,7747,0,Yes,18,3,2,1,3,2,1,2,2,2,2
313,428,Female,Life Sciences,33,Married,Research & Development,Manager,No,Travel_Frequently,553,5,4,4,74,3,3,2,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8
314,429,Male,Medical,39,Married,Research & Development,Manager,No,Travel_Rarely,117,10,1,3,99,3,4,1,17068,5355,1,Yes,14,3,4,0,21,3,3,21,9,11,10
315,430,Female,Life Sciences,43,Single,Research & Development,Laboratory Technician,No,Travel_Frequently,185,10,4,3,33,3,1,4,2455,10675,0,No,19,3,1,0,9,5,3,8,7,1,7
316,431,Female,Technical Degree,49,Single,Research & Development,Healthcare Representative,No,Travel_Rarely,1091,1,2,3,90,2,4,3,13964,17810,7,Yes,12,3,4,0,25,2,3,7,1,0,7
317,433,Male,Medical,52,Married,Research & Development,Research Scientist,Yes,Travel_Rarely,723,8,4,3,85,2,2,2,4941,17747,2,No,15,3,1,0,11,3,2,8,2,7,7
318,434,Female,Life Sciences,27,Single,Research & Development,Research Scientist,No,Travel_Rarely,1220,5,3,3,85,3,1,2,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2
319,436,Female,Technical Degree,32,Married,Sales,Sales Executive,No,Travel_Rarely,588,8,2,3,65,2,2,2,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9
320,437,Male,Life Sciences,27,Single,Sales,Sales Executive,No,Travel_Rarely,1377,2,3,4,74,3,2,3,4478,5242,1,Yes,11,3,1,0,5,3,3,5,4,0,4
321,438,Male,Marketing,31,Divorced,Sales,Sales Executive,No,Travel_Rarely,691,7,3,4,73,3,2,4,7547,7143,4,No,12,3,4,3,13,3,3,7,7,1,7
322,439,Female,Medical,32,Single,Research & Development,Research Scientist,No,Travel_Rarely,1018,2,4,1,74,4,2,4,5055,10557,7,No,16,3,3,0,10,0,2,7,7,0,7
323,440,Male,Medical,28,Married,Research & Development,Research Scientist,Yes,Travel_Rarely,1157,2,4,1,84,1,1,4,3464,24737,5,Yes,13,3,4,0,5,4,2,3,2,2,2
324,441,Female,Medical,30,Married,Research & Development,Research Scientist,No,Travel_Rarely,1275,28,2,4,64,3,2,4,5775,11934,1,No,13,3,4,2,11,2,3,10,8,1,9
325,442,Female,Life Sciences,31,Married,Research & Development,Manufacturing Director,No,Travel_Frequently,798,7,2,3,48,2,3,3,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9
326,444,Male,Medical,39,Married,Research & Development,Manager,No,Travel_Frequently,672,7,2,3,54,2,5,4,19272,21141,1,No,15,3,1,1,21,2,3,21,9,13,3
327,445,Female,Medical,39,Married,Sales,Sales Executive,Yes,Travel_Rarely,1162,3,2,4,41,3,2,3,5238,17778,4,Yes,18,3,1,0,12,3,2,1,0,0,0
328,446,Male,Marketing,33,Single,Sales,Sales Executive,No,Travel_Frequently,508,10,3,2,46,2,2,4,4682,4317,3,No,14,3,3,0,9,6,2,7,7,0,1
329,447,Male,Life Sciences,47,Married,Research & Development,Research Director,No,Travel_Rarely,1482,5,5,4,42,3,5,3,18300,16375,4,No,11,3,2,1,21,2,3,3,2,1,1
330,448,Female,Life Sciences,43,Divorced,Research & Development,Laboratory Technician,No,Travel_Frequently,559,10,4,3,82,2,2,3,5257,6227,1,No,11,3,2,1,9,3,4,9,7,0,0
331,449,Male,Marketing,27,Married,Sales,Sales Executive,No,Non-Travel,210,1,1,3,73,3,2,2,6349,22107,0,Yes,13,3,4,1,6,0,3,5,4,1,4
332,450,Female,Life Sciences,54,Single,Research & Development,Research Scientist,No,Travel_Frequently,928,20,4,4,31,3,2,3,4869,16885,3,No,12,3,4,0,20,4,2,4,3,0,3
333,451,Female,Life Sciences,43,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,1001,7,3,3,43,3,3,1,9985,9262,8,No,16,3,1,1,10,1,2,1,0,0,0
334,452,Male,Other,45,Married,Research & Development,Research Scientist,No,Travel_Rarely,549,8,4,4,75,3,2,4,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8
335,453,Male,Medical,40,Married,Sales,Sales Executive,No,Travel_Rarely,1124,1,2,2,57,1,2,4,7457,13273,2,Yes,22,4,3,3,6,2,2,4,3,0,2
336,454,Male,Other,29,Married,Research & Development,Laboratory Technician,Yes,Travel_Rarely,318,8,4,2,77,1,1,1,2119,4759,1,Yes,11,3,4,0,7,4,2,7,7,0,7
337,455,Male,Other,29,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,738,9,5,2,30,2,1,4,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2
338,456,Female,Marketing,30,Divorced,Sales,Sales Executive,No,Travel_Rarely,570,5,3,4,30,2,2,3,6118,5431,1,No,13,3,3,3,10,2,3,10,9,1,2
339,458,Female,Marketing,27,Married,Sales,Sales Executive,No,Travel_Rarely,1130,8,4,2,56,3,2,2,6214,3415,1,No,18,3,1,1,8,3,3,8,7,0,7
340,460,Male,Medical,37,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,1192,5,2,4,61,3,2,4,6347,23177,7,No,16,3,3,2,8,2,2,6,2,0,4
341,461,Male,Life Sciences,38,Divorced,Research & Development,Research Director,No,Travel_Rarely,343,15,2,3,92,2,3,4,11510,15682,0,Yes,14,3,2,1,12,3,3,11,10,2,9
342,462,Female,Medical,31,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,1232,7,4,3,39,3,3,4,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10
343,463,Female,Marketing,29,Divorced,Sales,Sales Executive,No,Travel_Rarely,144,10,1,4,39,2,2,2,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7
344,464,Male,Technical Degree,35,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,1296,5,4,3,62,3,3,2,8095,18264,0,No,13,3,4,0,17,5,3,16,6,0,13
345,465,Male,Life Sciences,23,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1309,26,1,3,83,3,1,4,2904,16092,1,No,12,3,3,2,4,2,2,4,2,0,2
346,466,Male,Medical,41,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,483,6,3,4,95,2,2,2,6032,10110,6,Yes,15,3,4,0,8,3,3,5,4,1,2
347,467,Male,Medical,47,Single,Sales,Sales Representative,No,Travel_Frequently,1309,4,1,2,99,3,2,3,2976,25751,3,No,19,3,1,0,5,3,3,0,0,0,0
348,468,Female,Life Sciences,42,Single,Research & Development,Research Director,No,Travel_Rarely,810,23,5,1,44,3,4,4,15992,15901,2,No,14,3,2,0,16,2,3,1,0,0,0
349,469,Male,Life Sciences,29,Married,Sales,Sales Executive,No,Non-Travel,746,2,3,4,61,3,2,3,4649,16928,1,No,14,3,1,1,4,3,2,4,3,0,2
350,470,Male,Technical Degree,42,Divorced,Human Resources,Human Resources,No,Travel_Rarely,544,2,1,3,52,3,1,3,2696,24017,0,Yes,11,3,3,1,4,5,3,3,2,1,0
351,471,Female,Medical,32,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1062,2,3,3,75,3,1,2,2370,3956,1,No,13,3,3,1,8,4,3,8,0,0,7
352,473,Female,Medical,48,Married,Sales,Manager,No,Travel_Rarely,530,29,1,1,91,3,3,3,12504,23978,3,No,21,4,2,1,15,3,1,0,0,0,0
353,474,Male,Medical,37,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1319,6,3,3,51,4,2,1,5974,17001,4,Yes,13,3,1,2,13,2,3,7,7,6,7
354,475,Female,Technical Degree,30,Married,Sales,Sales Executive,No,Non-Travel,641,25,2,4,85,3,2,3,4736,6069,7,Yes,12,3,2,1,4,2,4,2,2,2,2
355,476,Male,Life Sciences,26,Married,Sales,Sales Executive,No,Travel_Rarely,933,1,3,3,57,3,2,3,5296,20156,1,No,17,3,2,1,8,3,3,8,7,7,7
356,477,Male,Other,42,Single,Research & Development,Healthcare Representative,No,Travel_Rarely,1332,2,4,1,98,2,2,4,6781,17078,3,No,23,4,2,0,14,6,3,1,0,0,0
357,478,Female,Technical Degree,21,Single,Sales,Sales Representative,Yes,Travel_Frequently,756,1,1,1,99,2,1,2,2174,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2
358,479,Female,Medical,36,Single,Sales,Sales Executive,No,Non-Travel,845,1,5,4,45,3,2,4,6653,15276,4,No,15,3,2,0,7,6,3,1,0,0,0
359,481,Male,Medical,36,Married,Sales,Sales Executive,No,Travel_Frequently,541,3,4,1,48,2,3,4,9699,7246,4,No,11,3,1,1,16,2,3,13,9,1,12
360,482,Male,Medical,57,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,593,1,4,4,88,3,2,3,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2
361,483,Female,Life Sciences,40,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1171,10,4,4,46,4,1,3,2213,22495,3,Yes,13,3,3,1,10,3,3,7,7,1,7
362,484,Male,Medical,21,Single,Sales,Sales Representative,No,Non-Travel,895,9,2,1,39,3,1,4,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2
363,485,Female,Marketing,33,Single,Sales,Sales Representative,Yes,Travel_Rarely,350,5,3,4,34,3,1,3,2851,9150,1,Yes,13,3,2,0,1,2,3,1,0,0,0
364,486,Female,Medical,37,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,921,10,3,3,98,3,1,1,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3
365,487,Female,Medical,46,Married,Research & Development,Manufacturing Director,No,Non-Travel,1144,7,4,3,30,3,2,3,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,0
366,488,Male,Marketing,41,Single,Sales,Sales Executive,Yes,Travel_Frequently,143,4,3,1,56,3,2,2,9355,9558,1,No,18,3,3,0,8,5,3,8,7,7,7
367,491,Male,Technical Degree,50,Single,Research & Development,Healthcare Representative,No,Travel_Rarely,1046,10,3,4,100,2,3,4,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3
368,492,Male,Marketing,40,Married,Sales,Sales Executive,Yes,Travel_Rarely,575,22,2,3,68,2,2,3,6380,6110,2,Yes,12,3,1,2,8,6,3,6,4,1,0
369,493,Male,Life Sciences,31,Single,Research & Development,Research Scientist,No,Travel_Rarely,408,9,4,3,42,2,1,2,2657,7551,0,Yes,16,3,4,0,3,5,3,2,2,2,2
370,494,Female,Life Sciences,21,Single,Sales,Sales Representative,Yes,Travel_Rarely,156,12,3,3,90,4,1,2,2716,25422,1,No,15,3,4,0,1,0,3,1,0,0,0
371,495,Male,Life Sciences,29,Single,Research & Development,Research Scientist,No,Travel_Rarely,1283,23,3,4,54,3,1,4,2201,18168,9,No,16,3,4,0,6,4,3,3,2,1,2
372,496,Male,Life Sciences,35,Single,Research & Development,Healthcare Representative,No,Travel_Rarely,755,9,4,3,97,2,2,2,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0
373,497,Male,Medical,27,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,1469,1,2,4,82,3,1,2,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4
374,498,Male,Life Sciences,28,Single,Sales,Sales Executive,No,Travel_Rarely,304,9,4,2,92,3,2,4,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7
375,499,Male,Other,49,Single,Research & Development,Healthcare Representative,No,Travel_Rarely,1261,7,3,2,31,2,3,3,10965,12066,8,No,24,4,3,0,26,2,3,5,2,0,0
376,500,Female,Life Sciences,51,Married,Sales,Sales Executive,No,Travel_Rarely,1178,14,2,3,87,3,2,4,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7
377,501,Female,Life Sciences,36,Married,Research & Development,Research Scientist,No,Travel_Rarely,329,2,3,4,96,3,1,3,2543,11868,4,No,13,3,2,1,6,3,3,2,2,2,2
378,502,Male,Marketing,34,Single,Sales,Sales Executive,Yes,Non-Travel,1362,19,3,1,67,4,2,4,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4
379,505,Female,Life Sciences,55,Single,Research & Development,Manager,No,Travel_Rarely,1311,2,3,3,97,3,4,4,16659,23258,2,Yes,13,3,3,0,30,2,3,5,4,1,2
380,507,Female,Marketing,24,Divorced,Sales,Sales Executive,No,Travel_Rarely,1371,10,4,4,77,3,2,3,4260,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3
381,508,Male,Technical Degree,30,Married,Sales,Sales Representative,No,Travel_Rarely,202,2,1,3,72,3,1,2,2476,17434,1,No,18,3,1,1,1,3,3,1,0,0,0
382,510,Male,Technical Degree,26,Single,Research & Development,Research Scientist,Yes,Travel_Frequently,575,3,1,3,73,3,1,1,3102,6582,0,No,22,4,3,0,7,2,3,6,4,0,4
383,511,Female,Medical,22,Married,Research & Development,Research Scientist,No,Travel_Rarely,253,11,3,1,43,3,1,2,2244,24440,1,No,13,3,4,1,2,1,3,2,1,1,2
384,513,Male,Medical,36,Married,Sales,Sales Executive,No,Travel_Rarely,164,2,2,2,61,2,3,3,7596,3809,1,No,13,3,2,2,10,2,3,10,9,9,0
385,514,Male,Technical Degree,30,Single,Research & Development,Research Scientist,Yes,Travel_Frequently,464,4,3,3,40,3,1,4,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0
386,515,Female,Life Sciences,37,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,1107,14,3,4,95,3,1,1,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17
387,516,Female,Marketing,40,Divorced,Sales,Sales Executive,No,Travel_Rarely,759,2,2,4,46,3,2,2,5715,22553,7,No,12,3,3,2,8,5,3,5,4,1,3
388,517,Female,Life Sciences,42,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,201,1,4,2,95,3,1,1,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2
389,518,Male,Life Sciences,37,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,1305,10,4,3,49,3,2,2,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1
390,520,Male,Life Sciences,43,Divorced,Research & Development,Research Director,No,Travel_Rarely,982,12,3,1,59,2,4,2,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9
391,521,Female,Medical,40,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,555,2,3,2,78,2,2,3,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0
392,522,Male,Medical,54,Married,Research & Development,Research Director,No,Travel_Rarely,821,5,2,1,86,3,5,1,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2
393,523,Female,Marketing,34,Married,Sales,Sales Executive,No,Non-Travel,1381,4,4,3,72,3,2,3,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2
394,524,Female,Medical,31,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,480,7,2,2,31,3,2,1,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12
395,525,Male,Medical,43,Married,Research & Development,Laboratory Technician,No,Travel_Frequently,313,21,3,4,61,3,1,4,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2
396,526,Female,Other,43,Divorced,Research & Development,Healthcare Representative,No,Travel_Rarely,1473,8,4,3,74,3,2,3,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2
397,527,Female,Life Sciences,25,Single,Sales,Sales Executive,No,Travel_Rarely,891,4,2,2,99,2,2,4,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3
398,529,Female,Medical,37,Married,Research & Development,Research Scientist,No,Non-Travel,1063,25,5,2,72,3,2,3,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7
399,530,Male,Life Sciences,31,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,329,1,2,4,98,2,1,1,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2
400,531,Male,Life Sciences,39,Divorced,Research & Development,Manager,No,Travel_Frequently,1218,1,1,2,52,3,5,3,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6
401,532,Female,Life Sciences,56,Married,Sales,Sales Executive,No,Travel_Frequently,906,6,3,3,86,4,4,1,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7
402,533,Female,Technical Degree,30,Single,Sales,Sales Executive,No,Travel_Rarely,1082,12,3,2,83,3,2,3,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4
403,534,Male,Marketing,41,Married,Sales,Sales Executive,No,Travel_Rarely,645,1,3,2,49,4,3,1,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7
404,536,Male,Medical,28,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,1300,17,2,3,79,3,2,1,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8
405,538,Male,Medical,25,Married,Research & Development,Laboratory Technician,Yes,Travel_Rarely,688,3,3,1,91,3,1,1,4031,9396,5,No,13,3,3,1,6,5,3,2,2,0,2
406,543,Male,Medical,52,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,319,3,3,4,39,2,3,3,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4
407,544,Male,Life Sciences,45,Married,Research & Development,Research Scientist,No,Travel_Rarely,192,10,2,1,69,3,1,4,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2
408,546,Female,Life Sciences,52,Married,Research & Development,Manager,No,Travel_Rarely,1490,4,2,4,30,3,4,4,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4
409,547,Female,Life Sciences,42,Divorced,Research & Development,Research Scientist,No,Travel_Frequently,532,29,2,1,92,3,2,3,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2
410,548,Female,Life Sciences,30,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,317,2,3,3,43,1,2,4,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2
411,549,Female,Life Sciences,60,Married,Research & Development,Manager,No,Travel_Rarely,422,7,3,1,41,3,5,1,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10
412,550,Female,Medical,46,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,1485,18,3,3,87,3,2,3,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8
413,551,Female,Technical Degree,42,Married,Research & Development,Healthcare Representative,No,Travel_Frequently,1368,28,4,4,88,2,2,4,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4
414,554,Female,Technical Degree,24,Single,Sales,Sales Representative,Yes,Travel_Rarely,1448,1,1,1,62,3,1,2,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4
415,555,Female,Marketing,34,Divorced,Sales,Sales Representative,Yes,Travel_Frequently,296,6,2,4,33,1,1,3,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0
416,556,Male,Life Sciences,38,Married,Research & Development,Laboratory Technician,No,Travel_Frequently,1490,2,2,4,42,3,1,4,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0
417,558,Female,Life Sciences,40,Married,Sales,Manager,No,Travel_Rarely,1398,2,4,3,79,3,5,3,18041,13022,0,No,14,3,4,0,21,2,3,20,15,1,12
418,560,Female,Life Sciences,26,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1349,23,3,1,90,3,1,4,2886,3032,1,No,22,4,2,2,3,3,1,3,2,0,2
419,562,Male,Life Sciences,30,Married,Research & Development,Laboratory Technician,No,Non-Travel,1400,3,3,3,53,3,1,4,2097,16734,4,No,15,3,3,1,9,3,1,5,3,1,4
420,564,Male,Medical,29,Married,Research & Development,Research Director,No,Travel_Rarely,986,3,4,2,93,2,3,3,11935,21526,1,No,18,3,3,0,10,2,3,10,2,0,7
421,565,Female,Technical Degree,29,Married,Research & Development,Research Scientist,Yes,Travel_Rarely,408,25,5,3,71,2,1,2,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1
422,566,Male,Technical Degree,19,Single,Human Resources,Human Resources,Yes,Travel_Rarely,489,2,2,1,52,2,1,4,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0
423,567,Female,Other,30,Married,Sales,Sales Executive,No,Non-Travel,1398,22,4,3,69,3,3,1,8412,2890,0,No,11,3,3,0,10,3,3,9,8,7,8
424,568,Male,Marketing,57,Divorced,Sales,Manager,No,Travel_Rarely,210,29,3,1,56,2,4,4,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0
425,569,Male,Life Sciences,50,Married,Research & Development,Manager,No,Travel_Rarely,1099,29,4,2,88,2,4,3,17046,9314,0,No,15,3,2,1,28,2,3,27,10,15,7
426,571,Female,Medical,30,Single,Research & Development,Laboratory Technician,No,Non-Travel,1116,2,3,3,49,3,1,4,2564,7181,0,No,14,3,3,0,12,2,2,11,7,6,7
427,573,Female,Marketing,60,Married,Sales,Sales Executive,No,Travel_Frequently,1499,28,3,3,80,2,3,1,10266,2845,4,No,19,3,4,0,22,5,4,18,13,13,11
428,574,Female,Medical,47,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,983,2,2,1,65,3,2,4,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4
429,575,Male,Life Sciences,46,Married,Research & Development,Research Director,No,Travel_Rarely,1009,2,3,1,51,3,4,3,17861,2288,6,No,13,3,3,0,26,2,1,3,2,0,1
430,577,Male,Life Sciences,35,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,144,22,3,4,46,1,1,3,4230,19225,0,No,15,3,3,0,6,2,3,5,4,4,3
431,578,Female,Life Sciences,54,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,548,8,4,3,42,3,2,3,3780,23428,7,No,11,3,3,0,19,3,3,1,0,0,0
432,579,Male,Life Sciences,34,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1303,2,4,4,62,2,1,3,2768,8416,3,No,12,3,3,1,14,3,3,7,3,5,7
433,580,Female,Marketing,46,Married,Sales,Sales Executive,No,Travel_Rarely,1125,10,3,3,94,2,3,4,9071,11563,2,Yes,19,3,3,1,15,3,3,3,2,1,2
434,581,Male,Life Sciences,31,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,1274,9,1,3,33,3,3,2,10648,14394,1,No,25,4,4,1,13,6,4,13,8,0,8
435,582,Male,Medical,33,Married,Research & Development,Manager,Yes,Travel_Rarely,1277,15,1,2,56,3,3,3,13610,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7
436,584,Male,Medical,33,Divorced,Research & Development,Laboratory Technician,Yes,Travel_Rarely,587,10,1,1,38,1,1,4,3408,6705,7,No,13,3,1,3,8,2,3,4,3,1,3
437,585,Male,Marketing,30,Single,Sales,Sales Representative,No,Travel_Rarely,413,7,1,4,57,3,1,2,2983,18398,0,No,14,3,1,0,4,3,3,3,2,1,2
438,586,Male,Life Sciences,35,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,1276,16,3,4,72,3,3,3,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0
439,587,Male,Life Sciences,31,Married,Research & Development,Healthcare Representative,Yes,Travel_Frequently,534,20,3,1,66,3,3,3,9824,22908,3,No,12,3,1,0,12,2,3,1,0,0,0
440,590,Female,Human Resources,34,Divorced,Human Resources,Human Resources,Yes,Travel_Frequently,988,23,3,2,43,3,3,1,9950,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2
441,591,Male,Other,42,Married,Research & Development,Laboratory Technician,No,Travel_Frequently,1474,5,2,2,97,3,1,3,2093,9260,4,No,17,3,4,1,8,4,3,2,2,2,0
442,592,Male,Medical,36,Single,Sales,Sales Executive,No,Non-Travel,635,10,4,2,32,3,3,4,9980,15318,1,No,14,3,4,0,10,3,2,10,3,9,7
443,593,Male,Technical Degree,22,Single,Research & Development,Laboratory Technician,Yes,Travel_Frequently,1368,4,1,3,99,2,1,3,3894,9129,5,No,16,3,3,0,4,3,3,2,2,1,2
444,595,Female,Marketing,48,Married,Sales,Sales Executive,No,Travel_Rarely,163,2,5,2,37,3,2,4,4051,19658,2,No,14,3,1,1,14,2,3,9,7,6,7
445,597,Female,Life Sciences,55,Single,Sales,Manager,No,Travel_Rarely,1117,18,5,1,83,3,4,2,16835,9873,3,No,23,4,4,0,37,2,3,10,9,7,7
446,599,Male,Life Sciences,41,Single,Sales,Sales Executive,No,Non-Travel,267,10,2,4,56,3,2,4,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10
447,600,Male,Marketing,35,Married,Sales,Sales Executive,No,Travel_Rarely,619,1,3,2,85,3,2,3,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9
448,601,Female,Life Sciences,40,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,302,6,3,2,75,3,4,3,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13
449,602,Female,Life Sciences,39,Married,Research & Development,Laboratory Technician,No,Travel_Frequently,443,8,1,3,48,3,1,3,3755,17872,1,No,11,3,1,1,8,3,3,8,3,0,7
450,604,Male,Life Sciences,31,Single,Sales,Sales Executive,No,Travel_Rarely,828,2,1,2,77,3,2,4,6582,8346,4,Yes,13,3,3,0,10,2,4,6,5,0,5
451,605,Male,Medical,42,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,319,24,3,4,56,3,3,1,7406,6950,1,Yes,21,4,4,1,10,5,2,10,9,5,8
452,606,Male,Other,45,Married,Sales,Sales Executive,No,Travel_Rarely,561,2,3,4,61,3,2,2,4805,16177,0,No,19,3,2,1,9,3,4,8,7,3,7
453,608,Female,Life Sciences,26,Divorced,Human Resources,Human Resources,Yes,Travel_Frequently,426,17,4,2,58,3,1,3,2741,22808,0,Yes,11,3,2,1,8,2,2,7,7,1,0
454,611,Male,Technical Degree,29,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,232,19,3,4,34,3,2,4,4262,22645,4,No,12,3,2,2,8,2,4,3,2,1,2
455,612,Female,Medical,33,Divorced,Research & Development,Research Director,No,Travel_Rarely,922,1,5,1,95,4,4,3,16184,22578,4,No,19,3,3,1,10,2,3,6,1,0,5
456,613,Male,Life Sciences,31,Divorced,Sales,Manager,No,Travel_Rarely,688,7,3,3,44,2,3,4,11557,25291,9,No,21,4,3,1,10,3,2,5,4,0,1
457,614,Male,Marketing,18,Single,Sales,Sales Representative,Yes,Travel_Frequently,1306,5,3,2,69,3,1,2,1878,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0
